0.725,0.335,,/Users/lordvile/Documents/Music/Songs/Amy Winehouse - Back To Black.m4a,,,,,,,,,
0.722,0.674,,/Users/lordvile/Documents/Music/Songs/Sultan + Shepard feat. Nadia Ali & IRO - Almost Home.m4a,,,,,,,,,
0.588,0.326,,/Users/lordvile/Documents/Music/Songs/Culture Code - Feel Again (feat. Harley Bird).m4a,,,,,,,,,
0.661,0.506,,/Users/lordvile/Documents/Music/Songs/Kygo - Stranger Things (Audio) ft. OneRepublic.m4a,,,,,,,,,
0.473,0.34,,/Users/lordvile/Documents/Music/Songs/Lukas Graham - 7 Years [OFFICIAL MUSIC VIDEO].m4a,,,,,,,,,
0.68,0.319,,/Users/lordvile/Documents/Music/Songs/benny blanco,,,,,,,,,
0.561,0.377,,/Users/lordvile/Documents/Music/Songs/Four Walls (The Ballad of Perry S.m4a,,,,,,,,,
0.74,0.219,,/Users/lordvile/Documents/Music/Songs/Cheat Codes,,,,,,,,,
0.627,0.193,,/Users/lordvile/Documents/Music/Songs/Be Together (feat. Wild Belle).m4a,,,,,,,,,
0.775,0.595,,/Users/lordvile/Documents/Music/Songs/Andy Grammer - Honey,,,,,,,,,
0.52,0.13,,/Users/lordvile/Documents/Music/Songs/Martin Garrix & David Guetta - So Far Away (feat. Jamie Scott & Romy Dya) (Official Video).m4a,,,,,,,,,
0.928,0.207,,/Users/lordvile/Documents/Music/Songs/Fedde Le Grand - 'Put Your Hands Up For Detroit' (Official Video).m4a,,,,,,,,,
0.751,0.568,,/Users/lordvile/Documents/Music/Songs/Nick Jonas,,,,,,,,,
0.915,0.703,,/Users/lordvile/Documents/Music/Songs/Karen Ramirez - Looking For Love (1998).m4a,,,,,,,,,
0.887,0.405,,/Users/lordvile/Documents/Music/Songs/KUURO - Take Me Down (feat. Bianca) [Monstercat Release].m4a,,,,,,,,,
0.505,0.419,,/Users/lordvile/Documents/Music/Songs/Lauv - I Like Me Better [Official Video].m4a,,,,,,,,,
0.726,0.908,,/Users/lordvile/Documents/Music/Songs/Take That - Could It Be Magic.m4a,,,,,,,,,
0.871,0.351,,/Users/lordvile/Documents/Music/Songs/Feenixpawl - Neon Sky (feat. Mikayla).m4a,,,,,,,,,
0.593,0.747,,/Users/lordvile/Documents/Music/Songs/Tritonal - Love U Right (feat. Lourdiz) [Lyric Video].m4a,,,,,,,,,
